open_time,open,high,low,close,volume,close_time
2020-01-01T00:00:00.000000Z,1.3001999855041504,1.3011000156402588,1.2919299602508545,1.3001999855041504,0,2020-01-02T00:00:00.000000Z
2020-01-02T00:00:00.000000Z,1.297510027885437,1.3006999492645264,1.2968699932098389,1.2972999811172485,0,2020-01-03T00:00:00.000000Z
2020-01-03T00:00:00.000000Z,1.2983700037002563,1.3004100322723389,1.2961200475692749,1.29830002784729,0,2020-01-04T00:00:00.000000Z
2020-01-06T00:00:00.000000Z,1.2987200021743774,1.2988599538803101,1.2963000535964966,1.2986600399017334,0,2020-01-07T00:00:00.000000Z
2020-01-07T00:00:00.000000Z,1.2964099645614624,1.3029299974441528,1.2956999540328979,1.2963900566101074,0,2020-01-08T00:00:00.000000Z
2020-01-08T00:00:00.000000Z,1.3001400232315063,1.3043099641799927,1.2976499795913696,1.3003100156784058,0,2020-01-09T00:00:00.000000Z
2020-01-09T00:00:00.000000Z,1.3035199642181396,1.3103899955749512,1.3025000095367432,1.3036500215530396,0,2020-01-10T00:00:00.000000Z
2020-01-10T00:00:00.000000Z,1.3062399625778198,1.3075200319290161,1.3029700517654419,1.3062499761581421,0,2020-01-11T00:00:00.000000Z
2020-01-13T00:00:00.000000Z,1.306689977645874,1.3067500591278076,1.3032000064849854,1.3065400123596191,0,2020-01-14T00:00:00.000000Z
2020-01-14T00:00:00.000000Z,1.3056199550628662,1.3077700138092041,1.3047000169754028,1.3055599927902222,0,2020-01-15T00:00:00.000000Z
2020-01-15T00:00:00.000000Z,1.3064999580383301,1.3077499866485596,1.3037999868392944,1.3065500259399414,0,2020-01-16T00:00:00.000000Z
2020-01-16T00:00:00.000000Z,1.3037999868392944,1.3055299520492554,1.3030999898910522,1.3037999868392944,0,2020-01-17T00:00:00.000000Z
2020-01-17T00:00:00.000000Z,1.3039799928665161,1.3074500560760498,1.3033000230789185,1.3039000034332275,0,2020-01-18T00:00:00.000000Z
2020-01-20T00:00:00.000000Z,1.3063199520111084,1.30718994140625,1.3049999475479126,1.3063600063323975,0,2020-01-21T00:00:00.000000Z
2020-01-21T00:00:00.000000Z,1.3045200109481812,1.3077199459075928,1.3042000532150269,1.3045400381088257,0,2020-01-22T00:00:00.000000Z
2020-01-22T00:00:00.000000Z,1.3073999881744385,1.3138400316238403,1.3036600351333618,1.3073500394821167,0,2020-01-23T00:00:00.000000Z
2020-01-24T00:00:00.000000Z,1.3127100467681885,1.3150399923324585,1.3121000528335571,1.3127000331878662,0,2020-01-25T00:00:00.000000Z
2020-01-27T00:00:00.000000Z,1.3160799741744995,1.3199199438095093,1.3145999908447266,1.3158999681472778,0,2020-01-28T00:00:00.000000Z
2020-01-28T00:00:00.000000Z,1.318809986114502,1.3204900026321411,1.3170100450515747,1.3187700510025024,0,2020-01-29T00:00:00.000000Z
2020-01-29T00:00:00.000000Z,1.3163900375366211,1.3207399845123291,1.3156000375747681,1.3164000511169434,0,2020-01-30T00:00:00.000000Z
2020-01-30T00:00:00.000000Z,1.319599986076355,1.3225699663162231,1.319599986076355,1.3197000026702881,0,2020-01-31T00:00:00.000000Z
2020-01-31T00:00:00.000000Z,1.3208999633789062,1.3243999481201172,1.3194799423217773,1.3211300373077393,0,2020-02-01T00:00:00.000000Z
2020-02-03T00:00:00.000000Z,1.3240699768066406,1.3302899599075317,1.3229999542236328,1.3240400552749634,0,2020-02-04T00:00:00.000000Z
2020-02-04T00:00:00.000000Z,1.3294800519943237,1.3301099538803101,1.326200008392334,1.3293999433517456,0,2020-02-05T00:00:00.000000Z
2020-02-05T00:00:00.000000Z,1.328279972076416,1.3301600217819214,1.3262799978256226,1.3282400369644165,0,2020-02-06T00:00:00.000000Z
2020-02-06T00:00:00.000000Z,1.3286099433898926,1.3308500051498413,1.3267999887466431,1.3284300565719604,0,2020-02-07T00:00:00.000000Z
2020-02-07T00:00:00.000000Z,1.3286499977111816,1.3317500352859497,1.3280700445175171,1.3284000158309937,0,2020-02-08T00:00:00.000000Z
2020-02-10T00:00:00.000000Z,1.3311599493026733,1.3328200578689575,1.3286999464035034,1.3309600353240967,0,2020-02-11T00:00:00.000000Z
2020-02-11T00:00:00.000000Z,1.3317400217056274,1.3319100141525269,1.3276000022888184,1.3316999673843384,0,2020-02-12T00:00:00.000000Z
2020-02-12T00:00:00.000000Z,1.3289999961853027,1.3294800519943237,1.3243000507354736,1.3290400505065918,0,2020-02-13T00:00:00.000000Z
2020-02-13T00:00:00.000000Z,1.3256599903106689,1.3271000385284424,1.3238999843597412,1.3256100416183472,0,2020-02-14T00:00:00.000000Z
2020-02-14T00:00:00.000000Z,1.326449990272522,1.3268200159072876,1.3235000371932983,1.3263900279998779,0,2020-02-15T00:00:00.000000Z
